Supplier,Direction,SOC,TempLabel,TempC,DCR_mOhm,,AUTO-GENERATED — do not edit. Fill DCR_<Supplier> tabs; Save As CSV UTF-8 → dcr.csv
YOUNGY ENERGY,Charge,80%,-20°C,-20,,,
YOUNGY ENERGY,Charge,90%,-20°C,-20,,,
YOUNGY ENERGY,Charge,10%,-10°C,-10,,,
YOUNGY ENERGY,Charge,20%,-10°C,-10,,,
YOUNGY ENERGY,Charge,30%,-10°C,-10,,,
YOUNGY ENERGY,Charge,40%,-10°C,-10,,,
YOUNGY ENERGY,Charge,50%,-10°C,-10,,,
YOUNGY ENERGY,Charge,60%,-10°C,-10,,,
YOUNGY ENERGY,Charge,70%,-10°C,-10,,,
YOUNGY ENERGY,Charge,80%,-10°C,-10,,,
YOUNGY ENERGY,Charge,90%,-10°C,-10,,,
YOUNGY ENERGY,Charge,10%,0°C,0,,,
YOUNGY ENERGY,Charge,20%,0°C,0,,,
YOUNGY ENERGY,Charge,30%,0°C,0,,,
YOUNGY ENERGY,Charge,40%,0°C,0,,,
YOUNGY ENERGY,Charge,50%,0°C,0,,,
YOUNGY ENERGY,Charge,60%,0°C,0,,,
YOUNGY ENERGY,Charge,70%,0°C,0,,,
YOUNGY ENERGY,Charge,80%,0°C,0,,,
YOUNGY ENERGY,Charge,90%,0°C,0,,,
YOUNGY ENERGY,Charge,10%,25°C,25,,,
YOUNGY ENERGY,Charge,20%,25°C,25,,,
YOUNGY ENERGY,Charge,30%,25°C,25,,,
YOUNGY ENERGY,Charge,40%,25°C,25,,,
YOUNGY ENERGY,Charge,50%,25°C,25,,,
YOUNGY ENERGY,Charge,60%,25°C,25,,,
YOUNGY ENERGY,Charge,70%,25°C,25,,,
YOUNGY ENERGY,Charge,80%,25°C,25,,,
YOUNGY ENERGY,Charge,90%,25°C,25,,,
YOUNGY ENERGY,Charge,10%,45°C,45,,,
YOUNGY ENERGY,Charge,20%,45°C,45,,,
YOUNGY ENERGY,Charge,30%,45°C,45,,,
YOUNGY ENERGY,Charge,40%,45°C,45,,,
YOUNGY ENERGY,Charge,50%,45°C,45,,,
YOUNGY ENERGY,Charge,60%,45°C,45,,,
YOUNGY ENERGY,Charge,70%,45°C,45,,,
YOUNGY ENERGY,Charge,80%,45°C,45,,,
YOUNGY ENERGY,Charge,90%,45°C,45,,,
GREAT POWER,Discharge,10%,-20°C,-20,,,
GREAT POWER,Discharge,20%,-20°C,-20,,,
GREAT POWER,Discharge,30%,-20°C,-20,,,
GREAT POWER,Discharge,40%,-20°C,-20,,,
GREAT POWER,Discharge,50%,-20°C,-20,,,
GREAT POWER,Discharge,60%,-20°C,-20,,,
GREAT POWER,Discharge,70%,-20°C,-20,,,
GREAT POWER,Discharge,80%,-20°C,-20,,,
GREAT POWER,Discharge,90%,-20°C,-20,,,
GREAT POWER,Discharge,10%,-10°C,-10,,,
GREAT POWER,Discharge,20%,-10°C,-10,,,
GREAT POWER,Discharge,30%,-10°C,-10,,,
GREAT POWER,Discharge,40%,-10°C,-10,,,
GREAT POWER,Discharge,50%,-10°C,-10,,,
GREAT POWER,Discharge,60%,-10°C,-10,,,
GREAT POWER,Discharge,70%,-10°C,-10,,,
GREAT POWER,Discharge,80%,-10°C,-10,,,
GREAT POWER,Discharge,90%,-10°C,-10,,,
GREAT POWER,Discharge,10%,0°C,0,,,
GREAT POWER,Discharge,20%,0°C,0,,,
GREAT POWER,Discharge,30%,0°C,0,,,
GREAT POWER,Discharge,40%,0°C,0,,,
GREAT POWER,Discharge,50%,0°C,0,,,
GREAT POWER,Discharge,60%,0°C,0,,,
GREAT POWER,Discharge,70%,0°C,0,,,
GREAT POWER,Discharge,80%,0°C,0,,,
GREAT POWER,Discharge,90%,0°C,0,,,
GREAT POWER,Discharge,10%,25°C,25,,,
GREAT POWER,Discharge,20%,25°C,25,,,
GREAT POWER,Discharge,30%,25°C,25,,,
GREAT POWER,Discharge,40%,25°C,25,,,
GREAT POWER,Discharge,50%,25°C,25,,,
GREAT POWER,Discharge,60%,25°C,25,,,
GREAT POWER,Discharge,70%,25°C,25,,,
GREAT POWER,Discharge,80%,25°C,25,,,
GREAT POWER,Discharge,90%,25°C,25,,,
GREAT POWER,Discharge,10%,45°C,45,,,
GREAT POWER,Discharge,20%,45°C,45,,,
GREAT POWER,Discharge,30%,45°C,45,,,
GREAT POWER,Discharge,40%,45°C,45,,,
GREAT POWER,Discharge,50%,45°C,45,,,
GREAT POWER,Discharge,60%,45°C,45,,,
GREAT POWER,Discharge,70%,45°C,45,,,
GREAT POWER,Discharge,80%,45°C,45,,,
GREAT POWER,Discharge,90%,45°C,45,,,
GREAT POWER,Charge,10%,-20°C,-20,,,
GREAT POWER,Charge,20%,-20°C,-20,,,
GREAT POWER,Charge,30%,-20°C,-20,,,
GREAT POWER,Charge,40%,-20°C,-20,,,
GREAT POWER,Charge,50%,-20°C,-20,,,
GREAT POWER,Charge,60%,-20°C,-20,,,
GREAT POWER,Charge,70%,-20°C,-20,,,
GREAT POWER,Charge,80%,-20°C,-20,,,
GREAT POWER,Charge,90%,-20°C,-20,,,
GREAT POWER,Charge,10%,-10°C,-10,,,
GREAT POWER,Charge,20%,-10°C,-10,,,
GREAT POWER,Charge,30%,-10°C,-10,,,
GREAT POWER,Charge,40%,-10°C,-10,,,
GREAT POWER,Charge,50%,-10°C,-10,,,
GREAT POWER,Charge,60%,-10°C,-10,,,
GREAT POWER,Charge,70%,-10°C,-10,,,
GREAT POWER,Charge,80%,-10°C,-10,,,
GREAT POWER,Charge,90%,-10°C,-10,,,
GREAT POWER,Charge,10%,0°C,0,,,
GREAT POWER,Charge,20%,0°C,0,,,
GREAT POWER,Charge,30%,0°C,0,,,
GREAT POWER,Charge,40%,0°C,0,,,
GREAT POWER,Charge,50%,0°C,0,,,
GREAT POWER,Charge,60%,0°C,0,,,
GREAT POWER,Charge,70%,0°C,0,,,
GREAT POWER,Charge,80%,0°C,0,,,
GREAT POWER,Charge,90%,0°C,0,,,
GREAT POWER,Charge,10%,25°C,25,,,
GREAT POWER,Charge,20%,25°C,25,,,
GREAT POWER,Charge,30%,25°C,25,,,
GREAT POWER,Charge,40%,25°C,25,,,
GREAT POWER,Charge,50%,25°C,25,,,
GREAT POWER,Charge,60%,25°C,25,,,
GREAT POWER,Charge,70%,25°C,25,,,
GREAT POWER,Charge,80%,25°C,25,,,
GREAT POWER,Charge,90%,25°C,25,,,
GREAT POWER,Charge,10%,45°C,45,,,
GREAT POWER,Charge,20%,45°C,45,,,
GREAT POWER,Charge,30%,45°C,45,,,
GREAT POWER,Charge,40%,45°C,45,,,
GREAT POWER,Charge,50%,45°C,45,,,
GREAT POWER,Charge,60%,45°C,45,,,
GREAT POWER,Charge,70%,45°C,45,,,
GREAT POWER,Charge,80%,45°C,45,,,
GREAT POWER,Charge,90%,45°C,45,,,
CORNEX,Discharge,0.1,-20°C,-20,,,
CORNEX,Discharge,20%,-20°C,-20,,,
CORNEX,Discharge,30%,-20°C,-20,,,
CORNEX,Discharge,40%,-20°C,-20,,,
CORNEX,Discharge,50%,-20°C,-20,,,
CORNEX,Discharge,60%,-20°C,-20,,,
CORNEX,Discharge,70%,-20°C,-20,,,
CORNEX,Discharge,80%,-20°C,-20,,,
CORNEX,Discharge,90%,-20°C,-20,,,
CORNEX,Discharge,0.1,-10°C,-10,,,
CORNEX,Discharge,20%,-10°C,-10,,,
CORNEX,Discharge,30%,-10°C,-10,,,
CORNEX,Discharge,40%,-10°C,-10,,,
CORNEX,Discharge,50%,-10°C,-10,,,
CORNEX,Discharge,60%,-10°C,-10,,,
CORNEX,Discharge,70%,-10°C,-10,,,
CORNEX,Discharge,80%,-10°C,-10,,,
CORNEX,Discharge,90%,-10°C,-10,,,
CORNEX,Discharge,0.1,0°C,0,,,
CORNEX,Discharge,20%,0°C,0,,,
CORNEX,Discharge,30%,0°C,0,,,
CORNEX,Discharge,40%,0°C,0,,,
CORNEX,Discharge,50%,0°C,0,,,
CORNEX,Discharge,60%,0°C,0,,,
CORNEX,Discharge,70%,0°C,0,,,
CORNEX,Discharge,80%,0°C,0,,,
CORNEX,Discharge,90%,0°C,0,,,
CORNEX,Discharge,0.1,25°C,25,0.5561,,
CORNEX,Discharge,20%,25°C,25,0.5073,,
CORNEX,Discharge,30%,25°C,25,0.4783,,
CORNEX,Discharge,40%,25°C,25,0.4563,,
CORNEX,Discharge,50%,25°C,25,0.4392,,
CORNEX,Discharge,60%,25°C,25,0.443,,
CORNEX,Discharge,70%,25°C,25,0.4592,,
CORNEX,Discharge,80%,25°C,25,0.4375,,
CORNEX,Discharge,90%,25°C,25,0.4156,,
CORNEX,Discharge,0.1,45°C,45,,,
CORNEX,Discharge,20%,45°C,45,,,
CORNEX,Discharge,30%,45°C,45,,,
CORNEX,Discharge,40%,45°C,45,,,
CORNEX,Discharge,50%,45°C,45,,,
CORNEX,Discharge,60%,45°C,45,,,
CORNEX,Discharge,70%,45°C,45,,,
CORNEX,Discharge,80%,45°C,45,,,
CORNEX,Discharge,90%,45°C,45,,,
CORNEX,Charge,10%,-20°C,-20,,,
CORNEX,Charge,20%,-20°C,-20,,,
CORNEX,Charge,30%,-20°C,-20,,,
CORNEX,Charge,40%,-20°C,-20,,,
CORNEX,Charge,50%,-20°C,-20,,,
CORNEX,Charge,60%,-20°C,-20,,,
CORNEX,Charge,70%,-20°C,-20,,,
CORNEX,Charge,80%,-20°C,-20,,,
CORNEX,Charge,90%,-20°C,-20,,,
CORNEX,Charge,10%,-10°C,-10,,,
CORNEX,Charge,20%,-10°C,-10,,,
CORNEX,Charge,30%,-10°C,-10,,,
CORNEX,Charge,40%,-10°C,-10,,,
CORNEX,Charge,50%,-10°C,-10,,,
CORNEX,Charge,60%,-10°C,-10,,,
CORNEX,Charge,70%,-10°C,-10,,,
CORNEX,Charge,80%,-10°C,-10,,,
CORNEX,Charge,90%,-10°C,-10,,,
CORNEX,Charge,10%,0°C,0,,,
CORNEX,Charge,20%,0°C,0,,,
CORNEX,Charge,30%,0°C,0,,,
CORNEX,Charge,40%,0°C,0,,,
CORNEX,Charge,50%,0°C,0,,,
CORNEX,Charge,60%,0°C,0,,,
CORNEX,Charge,70%,0°C,0,,,
CORNEX,Charge,80%,0°C,0,,,
